,Zone1,Zone2,Zone3,Zone4,
Sat Jan 13 21:00:00 CST 2018,16706,17003,17044,16325,
Sat Jan 13 22:00:00 CST 2018,10764,10592,10508,10542,
Sat Jan 13 23:00:00 CST 2018,5014,4923,4993,4848,
Sun Jan 14 00:00:00 CST 2018,1657,1667,1625,1662,
Sun Jan 14 01:00:00 CST 2018,437,431,433,416,
Sun Jan 14 02:00:00 CST 2018,73,78,75,72,
Sun Jan 14 03:00:00 CST 2018,11,9,9,15,
Sun Jan 14 04:00:00 CST 2018,9,8,9,8,
Sun Jan 14 05:00:00 CST 2018,60,51,61,48,
Sun Jan 14 06:00:00 CST 2018,287,308,320,301,
Sun Jan 14 07:00:00 CST 2018,1153,1275,1236,1252,
Sun Jan 14 08:00:00 CST 2018,3611,3743,3679,3649,
Sun Jan 14 09:00:00 CST 2018,7822,7941,8121,8018,
Sun Jan 14 10:00:00 CST 2018,12264,12915,12605,12617,
Sun Jan 14 11:00:00 CST 2018,14776,14808,15155,14636,
Sun Jan 14 12:00:00 CST 2018,12745,12691,12775,12394,
Sun Jan 14 13:00:00 CST 2018,8057,8169,8007,7973,
Sun Jan 14 14:00:00 CST 2018,3781,3859,3777,3721,
Sun Jan 14 15:00:00 CST 2018,1827,1917,1922,1846,
Sun Jan 14 16:00:00 CST 2018,6475,6683,6613,6522,
Sun Jan 14 17:00:00 CST 2018,17450,17906,17772,17423,
Sun Jan 14 18:00:00 CST 2018,14899,15469,15213,15150,
Sun Jan 14 19:00:00 CST 2018,16912,17201,17270,16747,
Sun Jan 14 20:00:00 CST 2018,19379,20116,19664,19442,
Sun Jan 14 21:00:00 CST 2018,16949,17293,17032,16693,
Sun Jan 14 22:00:00 CST 2018,10627,10785,10777,10486,
Sun Jan 14 23:00:00 CST 2018,4938,5008,4887,4849,
Mon Jan 15 00:00:00 CST 2018,1677,1711,1622,1746,
Mon Jan 15 01:00:00 CST 2018,411,396,402,434,
Mon Jan 15 02:00:00 CST 2018,92,81,76,74,
Mon Jan 15 03:00:00 CST 2018,6,15,8,16,
Mon Jan 15 04:00:00 CST 2018,10,11,5,5,
Mon Jan 15 05:00:00 CST 2018,63,54,54,51,
Mon Jan 15 06:00:00 CST 2018,346,328,330,297,
Mon Jan 15 07:00:00 CST 2018,1297,1234,1243,1212,
Mon Jan 15 08:00:00 CST 2018,3702,3704,3691,3713,
Mon Jan 15 09:00:00 CST 2018,8110,8050,7778,7979,
Mon Jan 15 10:00:00 CST 2018,12764,12672,12483,12536,
Mon Jan 15 11:00:00 CST 2018,14890,14839,14716,14823,
Mon Jan 15 12:00:00 CST 2018,12689,12993,12387,12695,
Mon Jan 15 13:00:00 CST 2018,8002,8156,7799,8101,
Mon Jan 15 14:00:00 CST 2018,3758,3720,3739,3860,
Mon Jan 15 15:00:00 CST 2018,1844,1825,1847,1933,
Mon Jan 15 16:00:00 CST 2018,6548,6567,6290,6658,
Mon Jan 15 17:00:00 CST 2018,17506,17612,17235,17725,
Mon Jan 15 18:00:00 CST 2018,15346,15598,14993,15066,
Mon Jan 15 19:00:00 CST 2018,17282,17300,16717,17386,
Mon Jan 15 20:00:00 CST 2018,19647,19954,19204,19958,
Mon Jan 15 21:00:00 CST 2018,17080,17215,16778,16830,
Mon Jan 15 22:00:00 CST 2018,10634,10904,10442,10716,
Mon Jan 15 23:00:00 CST 2018,4881,4974,4974,4903,
Tue Jan 16 00:00:00 CST 2018,1648,1645,1699,1663,
Tue Jan 16 01:00:00 CST 2018,389,410,420,417,
Tue Jan 16 02:00:00 CST 2018,78,82,63,77,
Tue Jan 16 03:00:00 CST 2018,14,11,7,8,
Tue Jan 16 04:00:00 CST 2018,5,12,6,9,
Tue Jan 16 05:00:00 CST 2018,57,61,52,52,
Tue Jan 16 06:00:00 CST 2018,305,287,349,281,
Tue Jan 16 07:00:00 CST 2018,1239,1288,1285,1263,
Tue Jan 16 08:00:00 CST 2018,3614,3802,3589,3691,
Tue Jan 16 09:00:00 CST 2018,7757,7810,7902,7979,
Tue Jan 16 10:00:00 CST 2018,12560,12554,12897,12747,
Tue Jan 16 11:00:00 CST 2018,14596,14771,14807,14627,
Tue Jan 16 12:00:00 CST 2018,12493,12614,12617,12586,
Tue Jan 16 13:00:00 CST 2018,7850,7965,7955,7919,
Tue Jan 16 14:00:00 CST 2018,3676,3832,3867,3734,
Tue Jan 16 15:00:00 CST 2018,1872,1929,1906,1818,
Tue Jan 16 16:00:00 CST 2018,6496,6574,6581,6370,
Tue Jan 16 17:00:00 CST 2018,17340,17441,17552,17375,
Tue Jan 16 18:00:00 CST 2018,15056,15152,15132,15000,
Tue Jan 16 19:00:00 CST 2018,16998,16835,17326,17114,
Tue Jan 16 20:00:00 CST 2018,19670,19772,19518,19610,
Tue Jan 16 21:00:00 CST 2018,16627,16682,17056,16762,
Tue Jan 16 22:00:00 CST 2018,10436,10481,10731,10792,
Tue Jan 16 23:00:00 CST 2018,4859,4863,4952,4850,
Wed Jan 17 00:00:00 CST 2018,1624,1641,1672,1685,
Wed Jan 17 01:00:00 CST 2018,405,438,410,392,
Wed Jan 17 02:00:00 CST 2018,63,79,81,64,
Wed Jan 17 03:00:00 CST 2018,11,11,11,8,
Wed Jan 17 04:00:00 CST 2018,10,11,9,11,
Wed Jan 17 05:00:00 CST 2018,65,68,43,50,
Wed Jan 17 06:00:00 CST 2018,320,348,322,271,
Wed Jan 17 07:00:00 CST 2018,1228,1199,1243,1242,
Wed Jan 17 08:00:00 CST 2018,3552,3603,3651,3634,
Wed Jan 17 09:00:00 CST 2018,7752,8012,8106,7901,
Wed Jan 17 10:00:00 CST 2018,12374,12466,12949,12404,
Wed Jan 17 11:00:00 CST 2018,14583,14837,14885,14550,
Wed Jan 17 12:00:00 CST 2018,12335,12426,12725,12646,
Wed Jan 17 13:00:00 CST 2018,7834,7853,8027,7840,
Wed Jan 17 14:00:00 CST 2018,3751,3716,3779,3746,
Wed Jan 17 15:00:00 CST 2018,1773,1843,1844,1923,
Wed Jan 17 16:00:00 CST 2018,6512,6381,6521,6409,
Wed Jan 17 17:00:00 CST 2018,17134,17535,17931,17379,
Wed Jan 17 18:00:00 CST 2018,14974,14780,15184,15128,
Wed Jan 17 19:00:00 CST 2018,16736,16827,17361,16703,
Wed Jan 17 20:00:00 CST 2018,19158,19559,19752,19411,
Wed Jan 17 21:00:00 CST 2018,16701,16563,17038,16556,
Wed Jan 17 22:00:00 CST 2018,10295,10381,10747,10508,
Wed Jan 17 23:00:00 CST 2018,4790,4732,5027,4855,
Thu Jan 18 00:00:00 CST 2018,1638,1706,1697,1619,
Thu Jan 18 01:00:00 CST 2018,435,441,423,464,
Thu Jan 18 02:00:00 CST 2018,62,74,64,74,
Thu Jan 18 03:00:00 CST 2018,13,8,9,15,
Thu Jan 18 04:00:00 CST 2018,7,13,13,7,
Thu Jan 18 05:00:00 CST 2018,38,69,59,62,
Thu Jan 18 06:00:00 CST 2018,316,301,284,311,
Thu Jan 18 07:00:00 CST 2018,1252,1215,1214,1256,
Thu Jan 18 08:00:00 CST 2018,3660,3632,3632,3728,
Thu Jan 18 09:00:00 CST 2018,8001,7841,7998,7943,
Thu Jan 18 10:00:00 CST 2018,12566,12388,12532,12667,
Thu Jan 18 11:00:00 CST 2018,14645,14592,14707,14622,
Thu Jan 18 12:00:00 CST 2018,12530,12401,12587,12567,
Thu Jan 18 13:00:00 CST 2018,7988,7695,8029,7890,
Thu Jan 18 14:00:00 CST 2018,3577,3648,3720,3767,
Thu Jan 18 15:00:00 CST 2018,1863,1770,1892,1883,
Thu Jan 18 16:00:00 CST 2018,6338,6317,6436,6480,
Thu Jan 18 17:00:00 CST 2018,17442,17146,17457,17710,
Thu Jan 18 18:00:00 CST 2018,15139,14907,15038,15356,
Thu Jan 18 19:00:00 CST 2018,16969,16862,16961,17034,
Thu Jan 18 20:00:00 CST 2018,19344,19362,19694,19700,
Thu Jan 18 21:00:00 CST 2018,16966,16877,17048,16947,
Thu Jan 18 22:00:00 CST 2018,10511,10191,10623,10692,
Thu Jan 18 23:00:00 CST 2018,4929,4750,4910,4932,
Fri Jan 19 00:00:00 CST 2018,1688,1681,1610,1553,
Fri Jan 19 01:00:00 CST 2018,384,442,397,399,
Fri Jan 19 02:00:00 CST 2018,82,80,58,74,
Fri Jan 19 03:00:00 CST 2018,13,16,10,13,
Fri Jan 19 04:00:00 CST 2018,5,8,11,7,
Fri Jan 19 05:00:00 CST 2018,72,56,48,51,
Fri Jan 19 06:00:00 CST 2018,330,327,305,306,
Fri Jan 19 07:00:00 CST 2018,1258,1214,1251,1193,
Fri Jan 19 08:00:00 CST 2018,3773,3711,3573,3613,
Fri Jan 19 09:00:00 CST 2018,7908,7946,7748,7771,
Fri Jan 19 10:00:00 CST 2018,12730,12585,12524,12451,
Fri Jan 19 11:00:00 CST 2018,14919,14732,14387,14688,
Fri Jan 19 12:00:00 CST 2018,12674,12608,12429,12466,
Fri Jan 19 13:00:00 CST 2018,8074,7783,7854,7933,
Fri Jan 19 14:00:00 CST 2018,3689,3762,3664,3701,
Fri Jan 19 15:00:00 CST 2018,1823,1919,1778,1859,
Fri Jan 19 16:00:00 CST 2018,6433,6569,6484,6415,
Fri Jan 19 17:00:00 CST 2018,17519,17424,17585,17485,
Fri Jan 19 18:00:00 CST 2018,15149,15299,15172,15023,
Fri Jan 19 19:00:00 CST 2018,16892,17008,16599,16698,
Fri Jan 19 20:00:00 CST 2018,19756,19547,19324,19244,
Fri Jan 19 21:00:00 CST 2018,16819,16721,16718,16557,
Fri Jan 19 22:00:00 CST 2018,10707,10331,10614,10633,
Fri Jan 19 23:00:00 CST 2018,4940,4756,4744,4899,
Sat Jan 20 00:00:00 CST 2018,1577,1662,1658,1669,
Sat Jan 20 01:00:00 CST 2018,464,419,421,420,
Sat Jan 20 02:00:00 CST 2018,66,81,83,68,
Sat Jan 20 03:00:00 CST 2018,10,13,5,7,
Sat Jan 20 04:00:00 CST 2018,6,4,8,11,
Sat Jan 20 05:00:00 CST 2018,63,55,59,57,
Sat Jan 20 06:00:00 CST 2018,318,309,311,278,
Sat Jan 20 07:00:00 CST 2018,1211,1211,1232,1206,
Sat Jan 20 08:00:00 CST 2018,3669,3789,3727,3625,
Sat Jan 20 09:00:00 CST 2018,7728,8027,8150,7770,
Sat Jan 20 10:00:00 CST 2018,12496,12789,13022,12434,
Sat Jan 20 11:00:00 CST 2018,14585,14963,14726,14706,
Sat Jan 20 12:00:00 CST 2018,12431,12674,12926,12504,
